Delhi,Timestamp
1990.44,2024-01-01 22:00:00
1761.27,2024-01-01 22:15:00
1517.96,2024-01-01 22:30:00
1425.33,2024-01-01 22:45:00
1196.98,2024-01-01 23:00:00
1033.38,2024-01-01 23:15:00
958.89,2024-01-01 23:30:00
847.38,2024-01-01 23:45:00
1284.99,2021-02-01 00:00:00
1291.84,2021-02-01 00:15:00
1381.32,2021-02-01 00:30:00
1429.89,2021-02-01 00:45:00
1434.42,2021-02-01 01:00:00
1499.27,2021-02-01 01:15:00
1530.59,2021-02-01 01:30:00
1498.76,2021-02-01 01:45:00
1580.85,2021-02-01 02:00:00
1567.38,2021-02-01 02:15:00
1560.63,2021-02-01 02:30:00
1642.85,2021-02-01 02:45:00
1575.82,2021-02-01 03:00:00
1598.77,2021-02-01 03:15:00
1633.27,2021-02-01 03:30:00
1710.47,2021-02-01 03:45:00
1673.56,2021-02-01 04:00:00
1725.26,2021-02-01 04:15:00
1736.21,2021-02-01 04:30:00
1826.61,2021-02-01 04:45:00
1939.16,2021-02-01 05:00:00
2109.12,2021-02-01 05:15:00
2260.57,2021-02-01 05:30:00
2614.05,2021-02-01 05:45:00
2752.86,2021-02-01 06:00:00
2927.62,2021-02-01 06:15:00
3684.9,2021-02-01 06:30:00
3686.98,2021-02-01 06:45:00
4179.47,2021-02-01 07:00:00
4455.14,2021-02-01 07:15:00
4590.74,2021-02-01 07:30:00
4544.02,2021-02-01 07:45:00
4624.06,2021-02-01 08:00:00
4328.56,2021-02-01 08:15:00
4581.56,2021-02-01 08:30:00
3960.89,2021-02-01 08:45:00
3713.89,2021-02-01 09:00:00
3387.88,2021-02-01 09:15:00
2984.14,2021-02-01 09:30:00
2560.15,2021-02-01 09:45:00
2343.53,2021-02-01 10:00:00
1975.6,2021-02-01 10:15:00
1650.18,2021-02-01 10:30:00
1377.13,2021-02-01 10:45:00
1237.17,2021-02-01 11:00:00
1031.69,2021-02-01 11:15:00
974.73,2021-02-01 11:30:00
849.65,2021-02-01 11:45:00
817.37,2021-02-01 12:00:00
747.59,2021-02-01 12:15:00
729.87,2021-02-01 12:30:00
746.35,2021-02-01 12:45:00
770.83,2021-02-01 13:00:00
772.35,2021-02-01 13:15:00
784.29,2021-02-01 13:30:00
817.96,2021-02-01 13:45:00
845.66,2021-02-01 14:00:00
940.08,2021-02-01 14:15:00
998.11,2021-02-01 14:30:00
1158.11,2021-02-01 14:45:00
1309.03,2021-02-01 15:00:00
1382.87,2021-02-01 15:15:00
1681.16,2021-02-01 15:30:00
1946.46,2021-02-01 15:45:00
2193.11,2021-02-01 16:00:00
